id,name,password,email,created_at,updated_at,favorite_genres,gravatar,is_admin
1,Usuario1,hashed_password,user1@mail.com,2025-06-21T10:33:51.615991,2025-06-21T10:33:51.615991,"{27,28,80}",https://www.gravatar.com/avatar/1?d=identicon,FALSE
2,Usuario2,hashed_password,user2@mail.com,2025-06-21T10:33:51.615991,2025-06-21T10:33:51.615991,"{36,18}",https://www.gravatar.com/avatar/2?d=identicon,FALSE
3,Usuario3,hashed_password,user3@mail.com,2025-06-21T10:33:51.615991,2025-06-21T10:33:51.615991,"{14,37}",https://www.gravatar.com/avatar/3?d=identicon,FALSE
4,Usuario4,hashed_password,user4@mail.com,2025-06-21T10:33:51.615991,2025-06-21T10:33:51.615991,"{37,10752,16}",https://www.gravatar.com/avatar/4?d=identicon,FALSE
5,Usuario5,hashed_password,user5@mail.com,2025-06-21T10:33:51.615991,2025-06-21T10:33:51.615991,"{878,53,36}",https://www.gravatar.com/avatar/5?d=identicon,FALSE
6,Usuario6,hashed_password,user6@mail.com,2025-06-21T10:33:51.615991,2025-06-21T10:33:51.615991,"{10402,14}",https://www.gravatar.com/avatar/6?d=identicon,FALSE
7,Usuario7,hashed_password,user7@mail.com,2025-06-21T10:33:51.615991,2025-06-21T10:33:51.615991,"{9648,878,27}",https://www.gravatar.com/avatar/7?d=identicon,FALSE
8,Usuario8,hashed_password,user8@mail.com,2025-06-21T10:33:51.615991,2025-06-21T10:33:51.615991,"{10751,18}",https://www.gravatar.com/avatar/8?d=identicon,FALSE
9,Usuario9,hashed_password,user9@mail.com,2025-06-21T10:33:51.615991,2025-06-21T10:33:51.615991,"{35,28,9648}",https://www.gravatar.com/avatar/9?d=identicon,FALSE
10,Usuario10,hashed_password,user10@mail.com,2025-06-21T10:33:51.615991,2025-06-21T10:33:51.615991,"{10749,14}",https://www.gravatar.com/avatar/10?d=identicon,FALSE
11,Usuario11,hashed_password,user11@mail.com,2025-06-21T10:33:51.615991,2025-06-21T10:33:51.615991,"{10749,14,37}",https://www.gravatar.com/avatar/11?d=identicon,FALSE
12,Usuario12,hashed_password,user12@mail.com,2025-06-21T10:33:51.615991,2025-06-21T10:33:51.615991,"{37,9648,80}",https://www.gravatar.com/avatar/12?d=identicon,FALSE
13,Usuario13,hashed_password,user13@mail.com,2025-06-21T10:33:51.615991,2025-06-21T10:33:51.615991,"{10402,12,14}",https://www.gravatar.com/avatar/13?d=identicon,FALSE
14,Usuario14,hashed_password,user14@mail.com,2025-06-21T10:33:51.615991,2025-06-21T10:33:51.615991,"{16,12,37}",https://www.gravatar.com/avatar/14?d=identicon,FALSE
15,Usuario15,hashed_password,user15@mail.com,2025-06-21T10:33:51.615991,2025-06-21T10:33:51.615991,"{16,9648}",https://www.gravatar.com/avatar/15?d=identicon,FALSE
16,Usuario16,hashed_password,user16@mail.com,2025-06-21T10:33:51.615991,2025-06-21T10:33:51.615991,"{99,36,35}",https://www.gravatar.com/avatar/16?d=identicon,FALSE
17,Usuario17,hashed_password,user17@mail.com,2025-06-21T10:33:51.615991,2025-06-21T10:33:51.615991,"{14,35}",https://www.gravatar.com/avatar/17?d=identicon,FALSE
18,Usuario18,hashed_password,user18@mail.com,2025-06-21T10:33:51.615991,2025-06-21T10:33:51.615991,"{27,878,36}",https://www.gravatar.com/avatar/18?d=identicon,FALSE
19,Usuario19,hashed_password,user19@mail.com,2025-06-21T10:33:51.615991,2025-06-21T10:33:51.615991,"{10402,12}",https://www.gravatar.com/avatar/19?d=identicon,FALSE
20,Usuario20,hashed_password,user20@mail.com,2025-06-21T10:33:51.615991,2025-06-21T10:33:51.615991,"{80,36,10751}",https://www.gravatar.com/avatar/20?d=identicon,FALSE
